_id,bme680_IAQ,bme680_IAQ_Accuracy,bme680_Static_IAQ,bme680_gas_per_kOhms,bme680_humidity,bme680_pressure,bme680_rawHumidity,bme680_rawTemperature,bme680_temperature,ccs_TVOC,ccs_eCO2,created_at,esp32_ChipID,mhz19_ppm,nextpm_pm1,nextpm_pm10,nextpm_pm25
62f3d412626d4e008aca9d07,25,0,25,23.09,23.34043,1014.61,24.082,31.81,31.80965,0,0,2022-08-10T17:51:46.417Z,13837956,403,1,4.7,2
62f3d78a626d4e008aca9d09,25,0,25,14.099,29.23068,1015.88,29.947,28.71,28.70968,7,451,2022-08-10T18:06:34.481Z,13631180,409,0.6,1.9,1
62f3db3a626d4e008aca9d0b,25,0,25,23.297,23.09776,1014.37,23.778,31.87,31.86965,0,0,2022-08-10T18:22:18.562Z,13837956,400,1,4.4,1.8
62f3dee4626d4e008aca9d0d,25,0,25,14.205,29.42725,1015.61,30.08,28.6,28.59968,1,407,2022-08-10T18:37:56.792Z,13631180,408,0.5,1.4,0.8
62f3e262626d4e008aca9d0f,25,0,25,23.402,23.15853,1014.25,23.607,31.89,31.88965,0,0,2022-08-10T18:52:50.906Z,13837956,404,0.9,4.2,1.7
62f3e63c626d4e008aca9d11,25,0,25,14.273,29.18486,1015.54,29.915,28.48,28.47968,1,410,2022-08-10T19:09:16.213Z,13631180,407,0.4,1.1,0.8
62f3e98a626d4e008aca9d13,25,0,25,23.615,22.6463,1014.13,23.116,31.84,31.83965,0,0,2022-08-10T19:23:22.252Z,13837956,403,1,4.1,1.7
62f3ed94626d4e008aca9d15,25,0,25,14.381,29.03003,1015.4,29.811,28.47,28.46968,1,408,2022-08-10T19:40:36.680Z,13631180,406,0.4,1.3,0.9
62f3f0b3626d4e008aca9d17,25,0,25,24.203,22.87112,1014.06,23.252,31.74,31.73965,0,0,2022-08-10T19:53:55.336Z,13837956,401,0.9,2.5,1.6
62f3f4ee626d4e008aca9d19,25,0,25,14.553,29.7847,1015.46,30.392,28.08,28.07968,1,407,2022-08-10T20:11:58.459Z,13631180,405,0.4,0.7,0.7
62f3f7db626d4e008aca9d1b,25,0,25,23.669,23.86672,1014.12,24.364,31.22,31.21965,481,1825,2022-08-10T20:24:27.357Z,13837956,402,0.8,2.1,1.3
62f3fc45626d4e008aca9d1d,25,0,25,14.594,30.04131,1015.52,30.754,27.83,27.82968,7,447,2022-08-10T20:43:17.557Z,13631180,404,0.4,0.6,0.6
62f3ff03626d4e008aca9d1f,25,0,25,21.898,24.51106,1014.35,25.045,31.03,31.02965,831,2054,2022-08-10T20:54:59.095Z,13837956,403,0.9,2,1.2
62f403af626d4e008aca9d21,25,0,25,14.492,30.41016,1015.71,31.104,27.62,27.61968,9,462,2022-08-10T21:14:55.906Z,13631180,404,0.4,0.5,0.5
62f4062a626d4e008aca9d23,25,0,25,20.616,24.9817,1014.49,25.538,30.88,30.87965,41,674,2022-08-10T21:25:30.634Z,13837956,403,0.8,1.5,1.4
62f40b19626d4e008aca9d25,25,0,25,14.502,30.48772,1015.92,31.213,27.46,27.45968,5,435,2022-08-10T21:46:33.866Z,13631180,404,0.4,0.5,0.5
62f40d52626d4e008aca9d27,25,0,25,19.367,25.36786,1014.63,25.945,30.75,30.74965,33,620,2022-08-10T21:56:02.774Z,13837956,401,0.7,1.7,1.3
62f41284626d4e008aca9d29,25,0,25,14.302,30.86817,1016.01,31.618,27.3,27.29968,7,450,2022-08-10T22:18:12.457Z,13631180,404,0.6,0.9,0.9
62f41488626d4e008aca9d2b,25,0,25,18.039,25.59975,1014.64,26.206,30.71,30.70967,41,671,2022-08-10T22:26:48.133Z,13837956,402,0.9,2.1,1.4
62f419f2626d4e008aca9d2d,25,0,25,14.175,31.03674,1015.9,31.806,27.19,27.18968,5,436,2022-08-10T22:49:54.620Z,13631180,404,0.4,1.2,0.6
62f41bb1626d4e008aca9d2f,25,0,25,16.923,25.97941,1014.63,26.559,30.63,30.62965,17,518,2022-08-10T22:57:21.343Z,13837956,401,0.7,2.5,1.1
62f4215f626d4e008aca9d31,25,0,25,14.013,31.27181,1015.94,32.048,27,26.99968,10,466,2022-08-10T23:21:35.859Z,13631180,405,0.4,0.9,0.8
62f422d9626d4e008aca9d33,25,0,25,15.767,26.29314,1014.61,26.892,30.6,30.59966,109,1122,2022-08-10T23:27:53.555Z,13837956,400,0.8,1.4,1.2
62f428c9626d4e008aca9d35,25,0,25,13.79,31.47688,1015.92,32.229,26.87,26.86968,6,444,2022-08-10T23:53:13.590Z,13631180,405,0.6,0.9,0.8
62f42a01626d4e008aca9d37,25,0,25,14.854,26.35607,1014.59,26.993,30.58,30.57965,27,581,2022-08-10T23:58:25.677Z,13837956,404,0.8,1.6,1.3
62f43021626d4e008aca9d39,25,0,25,13.781,31.60688,1015.94,32.378,26.72,26.71968,5,433,2022-08-11T00:24:33.738Z,13631180,405,0.6,1,0.9
62f43129626d4e008aca9d3b,25,0,25,14.253,26.50607,1014.64,27.11,30.55,30.54965,15,503,2022-08-11T00:28:57.814Z,13837956,404,0.8,1.4,1.2
62f4378a626d4e008aca9d3d,25,0,25,13.863,31.69326,1015.96,32.467,26.63,26.62968,2,417,2022-08-11T00:56:10.725Z,13631180,405,0.5,0.9,0.8
62f43859626d4e008aca9d3f,25,0,25,13.69,26.60154,1014.63,27.22,30.54,30.53966,48,717,2022-08-11T00:59:37.022Z,13837956,403,0.7,1.7,1.2
62f43ee3626d4e008aca9d41,25,0,25,13.91,31.81459,1016.01,32.592,26.51,26.50968,3,420,2022-08-11T01:27:31.169Z,13631180,405,0.5,0.8,0.8
62f43f90626d4e008aca9d43,25,0,25,13.407,26.62633,1014.74,27.27,30.54,30.53967,21,542,2022-08-11T01:30:24.225Z,13837956,404,0.8,1.7,1.3
62f4463a626d4e008aca9d45,25,0,25,14.147,31.73685,1015.92,32.543,26.45,26.44968,0,406,2022-08-11T01:58:50.022Z,13631180,405,0.4,0.7,0.7
62f446b8626d4e008aca9d47,25,0,25,13.22,26.82292,1014.59,27.422,30.48,30.47965,31,607,2022-08-11T02:00:56.188Z,13837956,402,0.8,1.1,0.9
62f44da4626d4e008aca9d49,25,0,25,14.421,31.65268,1015.86,32.457,26.4,26.39968,0,405,2022-08-11T02:30:28.017Z,13631180,404,0.5,0.8,0.8
62f44de0626d4e008aca9d4b,25,0,25,13.33,26.83161,1014.59,27.468,30.5,30.49965,17,514,2022-08-11T02:31:28.414Z,13837956,401,0.8,1.6,1.2
62f45508626d4e008aca9d4d,25,0,25,13.574,26.9817,1014.68,27.572,30.45,30.44965,48,717,2022-08-11T03:02:00.785Z,13837956,403,0.7,1.1,0.8
62f4550e626d4e008aca9d4f,25,0,25,14.655,31.64365,1015.94,32.403,26.3,26.29968,1,408,2022-08-11T03:02:06.657Z,13631180,404,0.4,1.3,0.8
62f45c30626d4e008aca9d51,25,0,25,13.938,26.98997,1014.59,27.593,30.43,30.42966,21,542,2022-08-11T03:32:32.837Z,13837956,401,0.8,1.9,1.1
